hydro_rum_name,label_abv,hydro_abv,additives_g_l,hydro_source
Berrys´ Own Selection Finest Nicaraguan Rum 1999,46,46.3,0,decon
Berrys´ Reserve Demerara Rum 1975 (Port Morant),46,44.8,6,decon
Bimber Distillery Handcrafted London Rum Batch No 001,40,40,0,fat rum pirate
Black Magic - Black Spiced,40,20,64,fat rum pirate
Black Tears Spiced Rum,40,37.5,10,fat rum pirate
Black Tot - Finest Caribbean,46.2,46,0,fat rum pirate
Blackadder Barbados Foursquare 2004-10yo,64.4,64,0,rumshopboy
Blackadder Hampden Aged 16 Years,56.1,56.5,0,fat rum pirate
Blackadder Raw Cask Jamaica Hampden Rum 15 Years Old,57,57,0,fat rum pirate
Blackadder Raw Cask Rum Foursquare 11 Years Old,62,62,0,fat rum pirate
Blackwell Fine Jamaican Rum,40,40,0,fat rum pirate
Botran Ron Anejo 12,40,40,0,fat rum pirate
Botran Ron Anejo 18 Sistema Solera,40,40,0,fat rum pirate
Botran Ron Anejo 8 Sistema Solera,40,40,0,fat rum pirate
Bounty Fiji Rum Premium Overproof Rum,58,58,0,fat rum pirate
Bounty Saint Lucia Rum Premium Dark,43,43,0,fat rum pirate
Bounty St Lucia Rum,40,40,0,fat rum pirate
Braunstein Sankt Croix,40,40.6,0,decon
Bristol Classic Rum 8 Year Worthy Park Estate,43,43,0,fat rum pirate
Bristol Classic Rum Barbados Foursquare 2004-2016,43,43,0,fat rum pirate
Bristol Classic Rum Caribbean Collection (Trinidad and Tobago),40,40,0,fat rum pirate
Bristol Classic Rum Caroni 1997,61.5,62,0,fat rum pirate
Bristol Classic Rum Cuban Rum 2003-2013,43,43,0,fat rum pirate
Bristol Classic Rum Diamond Distillery 1998,40,39.5,0,fat rum pirate
Bristol Classic Rum Enmore Still 1988,43,42,0,fat rum pirate
Bristol Classic Rum Port Morant 1990 -2015 (Oloroso Sherry Finish),46,46,0,fat rum pirate
Bristol Classic Rum Port Morant 1990 (Port Finish),46,46,0,fat rum pirate
Bristol Classic Rum Providence Estate 1990-2012,46,40,26,fat rum pirate
Bristol Classic Rum Reserve Rum of Grenada (Distilled in 2003),43,43,0,fat rum pirate
Bristol Classic Rum Rockley Still 1986-2012 (Sherry Finish),46,43,13,fat rum pirate
Bristol Classis Rum Caroni 1974,46,46.5,0,decon
Bristol Classis Rum Caroni 1996,43,43.5,0,decon
Bristol Classis Rum Fine Barbados Rum 2003,43,43,0,decon
Bristol Classis Rum Jamaican Rum 2002,43,43.2,0,decon
Bristol Classis Rum Port Morant Demerara 1990 25y,46,46,0,decon
Bristol Classis Rum Port Morant Demerara 1999,46,45.2,0,decon
Bristol Classis Rum Rockley Still 1986 (Sherry Finish),46,42.6,15,decon
Bristol Port Morant 1999 (Bottled 2014) Port Cask Finish,46,44,8,fat rum pirate
Bristol Port Morant 1999 (Bottled 2015),46,46,0,fat rum pirate
Bristol Spiced Rum Spirit Drink,42,38,16,fat rum pirate
Brugal 1888,40,37.1,12,decon
Brugal Anejo,38,36.1,7,decon
Brugal Anejo Reserva,38,36.1,7,decon
Brugal Especial,40,39,0,decon
Brugal Especial (old),40,38.7,0,decon
Brugal Especial Dry,40,39.5,0,fat rum pirate
Brugal Extra Viejo,38,36,7,decon
Brugal Extra Viejo Reserva,38,36.7,0,decon
Brugal Ron Extra Viejo,38,36.1,7,decon
Brugal Siglo de Oro,40,38.1,8,decon
Brugal XV,38,35.2,11,decon
Bumbu The Original,35,22,40,fat rum pirate
Bumbu XO Rum,40,35,19,fat rum pirate
Butterbird Rum,46,46,0,rumshopboy
Cachaca Anunciada,40,40,0,fat rum pirate
Cachaca Artesanal Santa Grau Itirapua,41,41,0,fat rum pirate
Cachaca Bandarra,40,40,0,fat rum pirate
Cachaca Barao Dourado Amendoim,40,40,0,fat rum pirate
Cachaca Barril 12 Cachaca Extra Premium,40,40,0,fat rum pirate
Cachaca Boa Luz Serie Ouro,41,41,0,fat rum pirate
Cachaca Caracuipe Prata,40,40,0,fat rum pirate
Cachaca D'Lourdes Carvalho,42,42,0,fat rum pirate
Cachaca Dom Bre Ouro,40,40,0,fat rum pirate
Cachaca Fuzue,41,41,0,fat rum pirate
Cachaca Havaninha,48,48,0,fat rum pirate
Cachaca Mandaguay,40,40,0,fat rum pirate
Cachaca Nova Alianca Balsamo,48,48,0,fat rum pirate
Cachaca Reserva do Zito Ipe,40,40,0,fat rum pirate
Cachaca Santa Terezinha Canela Sassafraz,38,24,40,fat rum pirate
Cachaca Sebastiana Duas Barricas Quatro Anos,40,40,0,fat rum pirate
Cachaca Tabua Flor de Ouro,41,41,0,fat rum pirate
Cacique 500,40,40,0,fat rum pirate
Cacique Anejo,37.5,37,0,fat rum pirate
Cadenhead's 1824 Special Single Cask Demerara Rum,68,69,0,fat rum pirate
Cadenhead's AWM Enmore 18y 1988,63.3,62.1,6,decon
Cadenhead's BBR Blackrock 11y,59.1,58.8,0,decon
Cadenhead's BMC from Epris Distillery,45.4,45,0,fat rum pirate
Cadenhead's Dark Caribbean Rum,50,50,0,fat rum pirate
Cadenhead's FSPD from South Pacific Distillery,59.6,59,0,fat rum pirate
Cadenhead's Green Label Guatemalan Rum Aged 8 Years,46,46,0,fat rum pirate
Cadenhead's JMWP from Worthy Park Distillery,57.9,58,0,fat rum pirate
Cadenhead’s GMBV Bellevue Distillery 17yo,54.3,54,0,rumshopboy
Cadenhead’s MEV Enmore Distillery Aged 26 Years,57.2,57.5,0,fat rum pirate
Cana Brava Reserva Aneja Aged 7 Years,45,43.5,6,fat rum pirate
Cane & Bean 1870,40,40,0,rumshopboy
Cane & Bean Cacao Infused Rum,40,40,0,fat rum pirate
Cane Island Barbados,40,40,0,rumshopboy
Cane Island Barbados Rum Aged 8 Years,43,43,0,fat rum pirate
Cane Island Dominican Republic Rum Aged 5 Years,43,40,12,fat rum pirate
Cane Island Jamaica,40,40,0,rumshopboy
Cane Island Trinidad Rum Aged 8 Years,43,40,12,fat rum pirate
Cane Trader Dark Rum,37.5,37.1,0,fat rum pirate
Captain Bligh XO Reserve,40,40,0,fat rum pirate
Captain Cook's Smooth and Spiced Original (Lidl own brand),35,30,17,fat rum pirate
Captain Morgan - The Original Rum,40,40,0,fat rum pirate
Captain Morgan Private Stock,40,26.4,45,decon
Captain Morgan Spiced Gold,35,28.5,21,fat rum pirate
Captain Morgan Tiki Mango and Pineapple,25,10,41,fat rum pirate
Captain Morgan White Rum,37.5,37.5,0,fat rum pirate
Cargo Cult Spiced Rum,40,40,0,fat rum pirate
"Caribbean Reserve, Enmore distillery Demerara 1998",46,45.8,0,decon
Caroni 12 Year Old – Velier,50,50,0,fat rum pirate
Carta Vieja Golden Cask Solera 18,40,38.1,7,decon
Castelo Branco Aguardente de Cana,44.5,45,0,fat rum pirate
Chairman's Reserve,40,40,0,fat rum pirate
Chairman's Reserve 2005 Vintage,46,46,0,fat rum pirate
Chairman's Reserve Spiced,40,28,41,fat rum pirate
Chairman's Reserve The Forgotten Casks,40,40,0,fat rum pirate
Chairman's Reserve White Label,40,40,0,fat rum pirate
Chairman’s Reserve Master’s Selection 2006 13 Year Old The Whisky Exchange Exclusive,56.3,56.5,0,fat rum pirate
Chairman’s Reserve Master’s Selection 2011 8 Years Old,46,46,0,fat rum pirate
Chairman’s Reserve White,40,40,0,rumshopboy
Cihuatan Solera 8 Gran Reserva,40,35.6,17,decon
Clairin Casimir Batch 2,54,54,0,fat rum pirate
Clairin Le Rocher Recolte 2017,46.5,46,0,fat rum pirate
Clairin World Championship 2017,46,46,0,fat rum pirate
Clarkes Court #37 Blend Limited Edition,40,35,19,fat rum pirate
Clarkes Court Superior Light White Rum,40,40,0,fat rum pirate
Claudionor Aguardente de Cana,48,48,0,fat rum pirate
Clement Single Cask Très vieux rhum 100% Canne Bleue,43.6,42.1,6,decon
Clement Single Cask Très vieux rhum Vanille intense,42.8,42.2,0,decon
Clement VSOP,40,39.5,0,decon
Clement VSOP 125th anniv.,40,39.9,0,decon
Cloven Hoof Spiced Rum,37.5,NA,100,fat rum pirate
Cockspur 12,40,40,0,fat rum pirate
Cockspur Fine Rum (5 star),37.5,37,0,fat rum pirate
Cockspur Old Gold Special Reserve Rum,43,43,0,fat rum pirate
Colombina Cachaca Serie Especial 10 Anos,45,44,0,fat rum pirate
Comandante Fidel Ron Anejo del Caribe,37.5,37.5,0,fat rum pirate
Compagne des Indes Barbados 16 Years,45,45,0,fat rum pirate
Compagnie des Indes Barbados Multi Distilleries 20yo,45,45,0,rumshopboy
Compagnie des Indes Foursquare 16yo,45,45,0,rumshopboy
Compagnie des Indes Hampden 15yo,43,43,0,rumshopboy
Compagnie des Indes New Yarmouth 12 Year Old,55,55,0,fat rum pirate
Compagnie des Indes New Yarmouth 12 Year Old (Danish Bottling),65.2,65,0,fat rum pirate
Compagnie des Indes St Lucia 13yo,43,43,0,rumshopboy
Companheira Extra Premium,40,40,0,fat rum pirate
Companheira Gatinha Cachaca,40,40,0,fat rum pirate
Companie Des Indes Barbados Foursquare 16y,60,60,0,decon
Companie Des Indes Jamaica Hampden 14y,58,58,0,decon
Companie Des Indes Jamaica Worthy Park 7y,43,43,0,decon
Conde de Cuba 15 anos,38,35.4,9,decon
Conde de Cuba 15 Anos Rum,38,38,0,rumshopboy
Conde de Cuba 5 anos,38,36.9,0,decon
Coruba 18y,40,39.9,0,decon
Cruzan Single Barrel Estate Rum,40,40,0,fat rum pirate
Cubaney Centenario,41,35.1,22,decon
Damoiseau 5 Ans D'Age Rhum Vieux agricole,42,42,0,fat rum pirate
