hydro_rum_name,label_abv,hydro_abv,additives_g_l,hydro_source
Havana Club Especial (pre 2015 re-formulation),40,37,12,fat rum pirate
Havana Club Maximo,40,35.8,16,decon
Havana Club Maximo Extra Anejo Rum,40,37,12,fat rum pirate
Havana Club Ritual Cubano,37.5,37.5,0,fat rum pirate
Havana Club Seleccion de Maestros,45,43.5,7,decon
Havana Club Tributo 2018,40,37.5,9,decon
Havana Club Union,40,38,8,decon
Higuana Ron de Caribe Anejo 5 Anos Reserva Especial,38,38,0,fat rum pirate
Holey Dollar Rum Silver Coin,40,40,0,decon
Holmes Cay Single Cask Rum Barbados 2005,64.3,64.5,0,fat rum pirate
Holmes Cay Single Cask Rum Fiji 2004,58,58,0,fat rum pirate
Hoxton Banana Rum,40,20,64,fat rum pirate
HSE 1998 Single Cask btl. 2009,47.8,46.9,0,decon
HSE 1998 Single Cask btl. 2013,47.8,46.9,0,decon
HSE 2002 Single Malt Finish,44,43.7,0,decon
HSE 2005 Sherry Finish (PX) btl.2013,46,45.6,0,decon
HSE 2005 Single Malt Finish btl.2013,44,43.7,0,decon
HSE Black Sheriff,40,39.5,0,decon
HSE Eleve Sous Bois,42,42,0,fat rum pirate
HSE Extra Vieux XO,43,42.2,0,decon
HSE Rhum Blanc,50,49.5,0,decon
Iceberg Imported Demerara Gold Rum (Canada),40,40,0,fat rum pirate
Isautier 15 ans,40,39.3,0,decon
J. Gow Fading Light,43,43,0,fat rum pirate
Jah45 Jamaican Rum - 18ct Carat Gold,40,40,0,fat rum pirate
Jah45 Jamaican Rum - Dark Rum,40,40,0,fat rum pirate
Jah45 Jamaican Rum Silver,40,40,0,fat rum pirate
JAH45 Silver Rum,40,40,0,fat rum pirate
Jamaica Cove Black Ginger Rum,40,39.5,0,fat rum pirate
Jamaica Cove Black Pineapple Rum,40,36,16,fat rum pirate
Jefferson's 1785 Extra Fine Dark Rum,40,40,0,fat rum pirate
Jefferson's 24 Year Old Demerara Rum,46,46,0,fat rum pirate
"John Milroy, Finest Jamaican Rum 26y Rare old rum",50,49.9,0,decon
Juuls Flying No.11 Jamaica 30y,61.6,61.2,0,decon
Juuls Ping No.9 Jamaica 1977 36y,61,60.7,0,decon
Kane's Golden Rum,37.5,37.5,0,fat rum pirate
Kaniche XO,40,33.5,24,decon
Karukera Gold,40,40,0,fat rum pirate
Karukera Silver,40,40,0,fat rum pirate
Kill Devil Barbados 14 Aged 14 Years (Foursquare),46,46,0,fat rum pirate
Kill Devil Barbados 9 Year Old,46,46,0,fat rum pirate
Kill Devil Cuba 17 Year Old (1999),46,46,0,fat rum pirate
Kill Devil Guatemala 8 Years (Darsa Distillery),46,46,0,fat rum pirate
Kill Devil Guyana Aged 11 Years – Port Ellen Finish,60.9,61,0,fat rum pirate
Kill Devil Guyana Aged 12 Years,62.7,63,0,fat rum pirate
Kill Devil Guyana Cask Strength 12 Years (Port Mourant),62.7,63,0,fat rum pirate
"Kill Devil Guyana, Enmore 24 YO",46,46,0,rumshopboy
Kill Devil Hampden 16yo,46,46,0,rumshopboy
Kill Devil Hampden Distillery Jamaica Aged 35 Years,58.1,58,0,fat rum pirate
Kill Devil Jamaica (Long Pond) 15 Year Old,46,46,0,fat rum pirate
Kill Devil Jamaica 10 Years (Worthy Park),46,46,0,fat rum pirate
Kill Devil Jamaica 24 Year Old (1992 - Hampden Estate),62,62.5,0,fat rum pirate
Kill Devil Jamaica Aged 9 Years (Hampden Estate,62.7,63,0,fat rum pirate
Kill Devil Jamaica Hampden Distillery Aged 16 Years The Whisky Barrel Exclusive,61.2,61.5,0,fat rum pirate
Kill Devil Jamaica Hampden Distillery Aged 17 Years The Whisky Barrel Exclusive,58.8,60,0,fat rum pirate
Kill Devil Long Pond Aged 15 Years,46,46,0,fat rum pirate
Kill Devil Trinidad 2003,63.1,63.5,0,fat rum pirate
Kill Devil Trinidad Caroni Distillery Aged 20 Years 64.8% ABV The Whisky Barrel Exclusive,64.8,65,0,fat rum pirate
Kintra Foursquare 14Y,57.7,NA,0,rumshopboy
Kintra Hampden 8 Year Old,56.5,57,0,fat rum pirate
Kintra Worthy Park 10y,61.8,62,0,rumshopboy
Kirk and Sweeney 12 Year,40,40,0,fat rum pirate
Koko Kanu (Coconut Rum),37.5,NA,NA,fat rum pirate
Kraken Spiced Rum,40,33,26,decon
La Confrerie du Rhum - Cuvée 1 Barbados,43,43.1,0,decon
La Confrerie du Rhum - Cuvée 2 Guadeloupe,42,42.2,0,decon
La Favorite Coeur de Rhum,40,39.3,0,decon
La Favorite Cuvée d’exception Privilège,40,26.5,45,decon
La Favorite Cuvée du Chateau 2000,43,41.8,0,decon
La Favorite Cuvée Spéciale des Cavistes,42.5,29.2,49,decon
La Hechicera,40,40,0,fat rum pirate
La Hechicera Muscat Cask Finish,43,43,0,rumshopboy
La Hechicera Rum,40,40,0,rumshopboy
La Hechicere,40,39.7,0,decon
La Mauny Extra Rubis,42,40.6,0,decon
La Mauny Extra Saphir,40,38.8,0,decon
La Mauny Rhum vieux 1995,42,41.1,0,decon
La Mauny VO,40,40,0,fat rum pirate
La Mauny X.O.,40,39.7,0,decon
Lamb's Navy Rum,40,39,0,fat rum pirate
Leatherback Rum Barrel Strength Special Reserve,57,57,0,fat rum pirate
Legendario Elixir de Cuba,34,NA,NA,fat rum pirate
Legendario Ron Dorado,38,38,0,fat rum pirate
Lemon Hart 151,75.5,73.5,10,fat rum pirate
Lemon Hart Demerara Rum,40,35.6,17,fat rum pirate
Liverpool Liverpool Rum,43,41.9,4,rumshopboy
Liverpool Rum Aged 16 Years,43,43,0,fat rum pirate
Lontan Savanna - La Maison du Whisky 60th Birthday,57,57,0,fat rum pirate
Lost Spirits Distillery Navy Style,55,54,0,decon
Lost Spirits Navy Style Rum,68,66,8,fat rum pirate
M&S Single Estate XO Guyanese Rum,40,40,0,fat rum pirate
Maburama - Pellegrini SPA Hampden Aged 13 Years,46,46,0,fat rum pirate
Magnifica de Faria Tradicional,38,38,0,fat rum pirate
Mainbrace Premium Spliced Rum,40,40,0,fat rum pirate
Maria Joao Premium Cachaca Brasileira,40,40,0,fat rum pirate
Marks & Spencer Bajan Plantation Rum,40,35,19,fat rum pirate
Marks & Spencer Spiced Rum,37.5,10,82,fat rum pirate
Marks and Spencer Gingerbread Rum,37.5,30.5,24,fat rum pirate
Matugga Golden Rum,42,32,37,fat rum pirate
Matugga Spiced Rum,42,29,47,fat rum pirate
Matusalem 15 Year Old Solero Blender,40,40,0,fat rum pirate
Mauritius Dodo Coconut Rum,40,25,50,fat rum pirate
McDowell’s No1 Celebration Deluxe XXX Rum,42.8,42.5,0,fat rum pirate
Mekhong Thai Spirit,35,31,13,fat rum pirate
Mezan Guyana 2005,40,40,0,fat rum pirate
Mezan Guyana Rum 1998 (Uitvluigt),40,40,0,fat rum pirate
Mezan Jamaica 2003 (Monymusk),40,40,0,fat rum pirate
Mezan Jamaica XO,40,40,0,fat rum pirate
Mezan Panama 1995,40,40,0,fat rum pirate
Mezan Panama 1999 Rum,42.2,42,0,fat rum pirate
Mezan Trinidad 1999 (Caroni),40,40,0,fat rum pirate
Mezan Trinidad 2007,46,46,0,rumshopboy
Mhoba Pot Stilled White Rum,43,43,0,fat rum pirate
Mhoba Select Agricole Aged 2 1/2yo,43,43,0,rumshopboy
Middas Reserva,39,39,0,fat rum pirate
Mombacho Ron 15 year,43,40.5,10,decon
Montanya Exclusiva,40,36,15,fat rum pirate
Montanya Oro,40,33,26,fat rum pirate
Montanya Platino,40,40,0,fat rum pirate
Montanya Valentia,40,40,0,fat rum pirate
Monymusk White Overproof,63,63,0,fat rum pirate
Mount Gay 1703,43,42.9,0,decon
Mount Gay 1703 (Original),43,43,0,rumshopboy
Mount Gay Black Barrel,43,43,0,fat rum pirate
Mount Gay Black Barrel (Original),43,43,0,rumshopboy
Mount Gay Blend of Matured Rums TWE Exclusive,54,54,0,fat rum pirate
Mount Gay Eclipse (Barbados),43,43,0,fat rum pirate
Mount Gay Eclipse (Gold),40,40,0,fat rum pirate
Mount Gay Extra Old,43,42.5,0,fat rum pirate
Mount Gay Origin Series 2 - Copper Pot,43,43,0,fat rum pirate
Mount Gay Origin Series 2 Copper Column,43,43,0,fat rum pirate
Mount Gay Peat Smoke Expression Rum,57,57,0,rumshopboy
Mount Gay Silver,40,40,0,fat rum pirate
Mount Gay XO Triple Cask Blend,43,43,0,fat rum pirate
Mount Gilboa,40,40,0,fat rum pirate
Neisson Blanc,55,55,0,fat rum pirate
Neisson Extra Vieux,45,46,0,fat rum pirate
Neisson Profil 105,54.2,54,0,rumshopboy
Neptune Rum,40,40,0,fat rum pirate
Neptune Rum 3yo,40,40,0,rumshopboy
New Dawn Traders New Dawn Rum,42,40,8,rumshopboy
Ninefold Distillery Scottish Pot Still Pure Single Rum,40,40,0,fat rum pirate
Noordbo Handelen - Fiji 2003,63.6,63.1,0,decon
Novo Fogo Barrel Aged Cachaca,40,40,0,fat rum pirate
Novo Fogo Silver Cachaca,40,40,0,fat rum pirate
Novo Fogo Tanager,42,42,0,fat rum pirate
O.V.D. Old Vatted Demerara,40,38,8,fat rum pirate
Ocean's 7 Mellow,40,33.8,23,decon
Ocean's Rum Atlantic Edition,43,39.9,12,decon
Old J Cherry Spiced,35,5,89,fat rum pirate
Old J Gold Spiced Rum,40,27,44,fat rum pirate
Old J Silver,35,30,16,fat rum pirate
Old J Tiki Fire Overproof Spiced rum,75.5,67,54,fat rum pirate
Old Jamaica 1982,48,48,0,decon
Old Jamaique Long Pond 1977,50,50,0,fat rum pirate
Old Monk Supreme,42.8,42,0,fat rum pirate
Old Port Rum,40,40,0,fat rum pirate
Old Salt Rum,42,38,16,fat rum pirate
Opthimus 15 OportO,43,35.8,29,decon
Opthimus 25,38,27.6,35,decon
Opthimus 25 Malt Whisky (Tomatin),43,34.1,34,decon
Origenes 18,40,35.7,16,decon
Our Rum & Spirits - Barbados WIRD 14y,43,42.8,0,decon
Our Rum & Spirits - Guyana Enmore/Versailles,61.2,59.9,6,decon
Our Rum and Spirits WIRD 2000,43,43,0,fat rum pirate
Our Rum and Spirits WIRD 2000 (Rockley Style),43,43,0,fat rum pirate
Pampero Anejo Especial,40,39.5,0,fat rum pirate
Pampero Aniversario Exclusiva,40,37,12,fat rum pirate
Papa's Pilar 24 Dark Rum,43,39.5,14,fat rum pirate
Paulsen Collection,40,40.5,0,decon
Penny Blue Cask #28,44.8,44,0,fat rum pirate
Penny Blue VSOP,40,40,0,fat rum pirate
Penny Blue XO 4th Batch,43.3,43,0,fat rum pirate
PHRAYA,40,40,0,decon
Phraya Deep Matured Gold Rum,40,40,0,fat rum pirate
Pink Pigeon Vanilla Spiced Rum,40,30,35,fat rum pirate
Piragibana Cachaca,47,47,0,fat rum pirate
Pirates Grog No.13 Rum,40,37,12,fat rum pirate
Pixan Rum de Mexico 8 Anos,40,30,35,fat rum pirate
Plantation 3 Stars,41.2,38,12,fat rum pirate
Plantation Barbados 15 year Single Cask Sherry Finish,42,37.7,17,decon
Plantation Barbados Rum Aged 5 Years,40,36,15,fat rum pirate
Plantation Belize 7 Single Cask,43,37.9,20,decon
Plantation Cuba 1998 Single Cask,42,37.4,18,decon
Plantation Dark (Trinidad and Tobago),40,37,12,fat rum pirate
Plantation Extrême No. 2: Fiji Islands 16yo,61.1,61,0,rumshopboy
Plantation Extrême No. 2: Guyana 18yo,59.7,60,0,rumshopboy
Plantation Extreme No.1 Barbados 2005 11y,56.3,55,7,decon
Plantation Extreme No.1 St.Lucia 2005 11y,53.8,52,9,decon
Plantation Extreme No.2 Fiji 16y,61.1,61.2,0,decon
Plantation Extreme No.2 Guyana 18y,59.7,59.2,0,decon
Plantation Fiji 2009,44.8,45,0,rumshopboy
Plantation Grenada 1996 Single Cask,42,35.7,24,decon
Plantation Grenada 1998 Old Reserve,42,36.9,20,decon
Plantation Grenada 2003 Old Reserve,42,37.9,16,decon
Plantation Guadeloupe 1998 Single Cask Sauternes,42,37.4,18,decon
Plantation Guatemala & Belize,42,36,23,rumshopboy
Plantation Guatemala Gran Anejo,42,37.6,17,decon
Plantation Guatemala XO Single Cask Denmark,40,34.9,19,decon
Plantation Guyana 1988 Single Cask,42,38,16,decon
Plantation Guyana 2005,45,40.5,19,fat rum pirate
Plantation Guyana 2005 Old Reserve,45,40.5,19,decon
Plantation Haiti XO,41,37,16,rumshopboy
Plantation Jamaica & Guyana 19yo,42,37,12,rumshopboy
Plantation Jamaica 1992 Single Cask,42,39,12,decon
Plantation Jamaica 1999 Single Cask Port,45,41,17,decon
Plantation Jamaica 2000,42,37.5,18,fat rum pirate
Plantation Jamaica 2000 Old Reserve,42,37.9,16,decon
Plantation Jamaica 2009 Long Pond CRV – The Whisky Exchange Exclusive,42.6,42.5,0,fat rum pirate
Plantation Jamaica/Guyana 1991 Single Cask,43,36.8,24,decon
Plantation M&S Jamaican Rum,42,38.2,16,rumshopboy
Plantation Martinique 2002 Single Cask,42,39.2,11,decon
Plantation Nicaragua 2001 Reserve,42,38.5,14,fat rum pirate
Plantation O.F.T.D,69,69,0,rumshopboy
Plantation O.F.T.D.,69,69,0,fat rum pirate
Plantation Original Dark,40,38,8,fat rum pirate
Plantation Panama 2002 Old Reserve,42,37.4,18,decon
Plantation Peru 2004,43.5,42.5,7,rumshopboy
Plantation Rum Isle of Fiji,40,36,16,fat rum pirate
Plantation Rum Single Cask Barbados 12 Years Old Wild Cherry Finish,44.1,41,12,fat rum pirate
Plantation Rum Single Cask Haiti XO,41,37,16,fat rum pirate
Plantation Stiggins' Fancy 1824 Recipe,40,34,23,fat rum pirate
Plantation Trinidad 1989 Single Cask Abel finish,45,35.2,39,decon
Plantation Trinidad 1997 Single Cask,43,40.8,9,decon
Plantation Trinidad 1998 Single Cask Porto,42,37.8,17,decon
Plantation Trinidad 1999 Single Cask Banyuls,42,36.9,19,decon
Plantation Trinidad 1999 Single Cask Sherry,43,38.7,17,decon
Plantation Trinidad 2002 Single Cask Marsala,42,37.5,18,decon
Plantation Xaymaca Special Dry,43,43,0,fat rum pirate
Plantation Xaymaca Special Dry Rum,43,43,0,rumshopboy
Plantation XO 20th Anniv.,40,33.5,24,decon
Plantation XO Barbados 20th Anniversary,40,33.5,24,fat rum pirate
Plantation XO Guatemala Ice Wine Finish (Gerry's 4th Edition),41.2,37,16,fat rum pirate
Presidente 23,40,26,47,decon
Prichard’s Private Stock,45,45,0,rumshopboy
Privateer International - DIstillers Drawer Bottled in Bond #31,50,50,0,fat rum pirate
Professor Cornelius Ampleforth's Rumbullion (Master Of Malt),42.6,35,29,fat rum pirate
Puntacana Club XOX 50 anniversary,40,33.7,23,decon
Pusser's - Blue label,75,74.1,6,decon
Pusser's - Blue Label,54.5,50.3,20,decon
Pusser's - Red label,42,38.5,6,decon
Pusser's 15 year,40,33.5,24,decon
Pusser's 15 Year Old Rum (2018 Re-Blend),40,38,8,fat rum pirate
Pusser's Blue Label (40% ABV) British Navy Rum,40,38.5,6,fat rum pirate
Pusser's British Navy Rum (Ceramic Miniature),42,39,12,fat rum pirate
Pusser's Decanter John Paul Jones,47.8,39,38,decon
Pusser's Decanter Yachting,42,37.2,19,decon
Pusser's Gunpowder (54.5% ABV) Formerly UK Blue Label British Navy Rum,54.5,52,7,fat rum pirate
Pusser's Rum 50th Anniversary Rum,54.5,54,0,fat rum pirate
Pussers 15 Year Old,40,32,29,fat rum pirate
Pussers British Navy Rum Super Overproof (German Market only),75,74.7,0,fat rum pirate
Pyrat Pistol,40,31.9,29,decon
Pyrat XO Reserve,40,33.6,24,decon
Pyrat XO Reserve Planters Gold,40,26.4,45,decon
R.L Seale's Old Brigand,43,43,0,fat rum pirate
R.L Seale's Old Brigand Barbados Rum,43,43,0,fat rum pirate
R.L Seale's Old Brigand Black Label,40,40,0,fat rum pirate
R.L. Seale's 10y,43,42.5,0,decon
Rabbie's Rum Distilled at Uitvlugt Distillery Aged 17 Years,60.8,60.5,0,fat rum pirate
Rathlee Distilling Co Golden Barrel Aged Rum Aged 3 Years,40,40,0,fat rum pirate
Ratu Dark Rum Aged 5 Years,40,40,0,fat rum pirate
Rebellion Spiced Rum,37.5,12,76,fat rum pirate
Red Bonny Dark Rum,40,40,0,fat rum pirate
Red Leg Spiced Rum,37.5,32.5,17,fat rum pirate
Relicario Ron Dominicano,40,40,0,fat rum pirate
Renegade Rum Company Barbados (Blackrock),46,45.4,0,decon
Renegade Rum Company Guyana (PM),46,45.2,0,decon
Renegade Rum Company Jamaica (Monymusk),46,45.3,0,decon
Renegade Rum Company Trinidad 1991 17y,46,45.9,0,decon
Renegade Rum Cuba 11 Year Old Paraiso,46,46,0,fat rum pirate
Renegade Rum Diamond 2001 Tempranilo Cask,46,46,0,fat rum pirate
Renegade Rum Jamaica 5 Year Old Monymusk,46,46,0,fat rum pirate
Reserva 51 Unica Extra Premium American Oak,40,40,0,fat rum pirate
Revolver Rum,40,40,0,fat rum pirate
Rhum Clement Canne Bleue,50,50,0,fat rum pirate
Rhum Clement L'Elixir X.O.,42,42,0,fat rum pirate
Rhum Clement Rhum Ambre,40,40,0,fat rum pirate
Rhum Clement V.S.O.P. Jon One 125th Anniversary,40,40,0,fat rum pirate
Rhum Clement Vieux Select Barrel,40,40,0,fat rum pirate
Rhum Clement VSOP,40,40,0,fat rum pirate
Rhum Depaz Rhum Hors D'Age Agricole XO,45,45,0,fat rum pirate
Rhum Depaz Rhum Vieux Agricole Hors D'Age Port Cask Finish,45,45,0,fat rum pirate
Rhum Depaz XO,45,45,0,rumshopboy
Rhum Dzama Vieux Aged 3 Years,52,52,0,fat rum pirate
Rhum J.M 1997,44.2,43.4,0,decon
Rhum J.M 1997 Rhum Vieux,48.8,49,0,decon
Rhum J.M 1998,43.7,43.5,0,decon
Rhum J.M 2000,47.2,46.7,0,decon
Rhum J.M 2003,44.8,43.6,0,decon
Rhum J.M Armagnac cask - btl.2015,41.5,41.5,0,decon
Rhum J.M Cuvée 1845,42,41.4,0,decon
Rhum J.M Multimillesimes,42.5,41.9,0,decon
Rhum JM Armagnac Finish,41.5,NA,0,rumshopboy
Rhum Negrita Bardinet,40,40,0,fat rum pirate
Rhum Negrita Double Silver,37.5,37.5,0,fat rum pirate
Rhum Nokito (1920-1930),43,42.6,0,decon
Rhum Rhum Liberation 2012 Full Proof,59.8,59.5,0,fat rum pirate
Rhum Rhum Liberation 2015 Version Integrale,58.4,58.5,0,fat rum pirate
Richland Rum,43,42.9,0,decon
Rivers Royale Grenadian Rum 69%,69,69,0,fat rum pirate
Riviere du Mat - XO,42,42,0,fat rum pirate
rockact81r Mogwai Rum Single Cask Demerara Rum,50,50,0,fat rum pirate
Ron Abuelo 7 Year Old,40,36,15,fat rum pirate
Ron Abuelo Anejo,40,32.4,27,decon
Ron Abuelo Anejo 12,40,32.1,29,decon
Ron Abuelo Anejo 7,40,34.3,20,decon
Ron Abuelo Centuria,40,34.5,20,decon
Ron Abuelo XV: Cask Finish Napoleon Cognac,40,29.8,35,rumshopboy
Ron Abuelo XV: Cask Finish Oloroso Sherry,40,27,44,rumshopboy
Ron Abuelo XV: Cask Finish Tawny Port,40,28.6,39.5,rumshopboy
Ron Aldea Cana Pura,42,40.9,0,decon
Ron Aldea Dark 8y,40,27.9,41,decon
Ron Aldea Familia 15y,40,34.7,20,decon
Ron Aldea Maestro 2006,40,38,8,fat rum pirate
Ron Aldea Superior 10y,40,33.9,22,decon
Ron Aldea Tradicion 1991,42,35,27,decon
Ron Anejo Botran Reserva Blanca,40,40,0,fat rum pirate
Ron Barcelo 30th Anniversary,43,38,20,rumshopboy
Ron Barceló Anejo,38,36,7,fat rum pirate
Ron Barcelo Gran Anjeo,37.5,38,0,fat rum pirate
Ron Barceló Gran Platinum Selected Edition,37.5,37.5,0,fat rum pirate
Ron Barceló Imperial,38,36,7,fat rum pirate
Ron Barceló Imperial Premium,43,39,16,decon
Ron Barcelo Signio Ron Dominicano,38,35,12,fat rum pirate
Ron Barco 15,40,34.5,20,decon
Ron Botran Anejo 12,40,40,0,fat rum pirate
Ron Botran Anejo Reserva,40,40,0,fat rum pirate
Ron Botran Solera 1893 (old),40,38.5,0,decon
Ron Botran Solera 1893 Sistema 18 Solera,40,39,0,decon
Ron Cartavio Anejo,37.5,38,0,fat rum pirate
Ron Cartavio Solero 12 Years,40,38,8,fat rum pirate
Ron Cartavio XO,40,32,29,decon
Ron Centenario 30,40,27,44,decon
Ron Centenario 30th Anniversary,40,24,53,rumshopboy
Ron Coloma 8 Anos,40,35,19,fat rum pirate
Ron Cristobal Nina,40,28,41,fat rum pirate
Ron Cubaney Centenario,41,34,26,decon
Ron Cubay 10 Year Old Reserva Especial,40,40,0,fat rum pirate
Ron Cubay Anejo,38,36.4,6,decon
Ron Cubay Anejo 7 Year Old,38,38,0,fat rum pirate
Ron Cubay Anejo Suave,37.5,28,32,fat rum pirate
Ron Cubay Carta Blanca 3 Year Old,38,38,0,fat rum pirate
Ron de El Salvador Cihuatan 12 Solera Reserva Especial,40,35,19,fat rum pirate
Ron de Jeremy Reserva,40,40,0,fat rum pirate
Ron de Jeremy XO,40,8,98,fat rum pirate
Ron del Barralito 3 Star,43,41,8,fat rum pirate
Ron Esclavo XO 1423,42,28.8,48,decon
Ron Flor de Cana 12y,40,40.5,0,decon
Ron Los Valientes Aged Solera 15 Blended Ron Anejo Especial,40,40,0,fat rum pirate
Ron Los Valientes Añejo Reserva Especial,43,43,0,rumshopboy
Ron Maestro Botero Reserva Especial,35,35.3,0,decon
Ron Matusalem Gran Reserva Solera 15,40,38.8,0,decon
Ron Millonario 10 Aniversario Reserva,40,30,35,fat rum pirate
Ron Millonario 10 Anivesario Reserva,40,31,32,decon
Ron Millonario Solera 15,40,30,35,decon
Ron Millonario XO,40,27.6,42,decon
Ron Montero Gran Reserva,40,40,0,fat rum pirate
Ron Montero Plata,37.5,37.5,0,fat rum pirate
Ron Mulata de Cuba Anejo 7 Anos,38,38,0,fat rum pirate
Ron Pampero Anejo Seleccion 1938,40,37,12,fat rum pirate
Ron Pampero Aniversary,40,35.7,16,decon
Ron Pampero Blanco,37.5,37.5,0,decon
Ron Pujol Dorado,37.5,36,0,fat rum pirate
Ron Quorhum 30,40,30.3,34,decon
Ron Roble Vejo Ultra Anejo,40,37.5,10,decon
Ron Roble Viejo Extra Anejo,40,35,19,fat rum pirate
Ron Santiago de Cuba 12,40,38.5,0,decon
Ron Santiago de Cuba 20,40,38.6,0,decon
Ron Santiago de Cuba 25,40,38.7,0,decon
Ron Santiago de Cuba Anejo,38,37.3,0,decon
Ron Santiago de Cuba Extra Anejo 485 anniv.,40,38.2,7,decon
Ron Varadero 7 Anos,38,38,0,fat rum pirate
Ron Viejo de Caldas 3 Year Old,37.5,38,0,fat rum pirate
Ron Viejo de Caldas Gran Reserva Especial,40,40,0,decon
Ron Yacare (Carrefour Supermarket Spain),37.5,37.5,0,fat rum pirate
Ron Zacapa 23,40,36.6,14,rumshopboy
Ron Zacapa 23 anos White Label,40,26.9,44,decon
Ron Zacapa 23 Sistema Solera,40,34.5,20,fat rum pirate
Ron Zacapa Black Label,40,27,44,decon
Ron Zacapa Centenario Etiqueta Negra,43,35.8,28,decon
Ron Zacapa Centenario Reserva Limitada 2013,45,41.1,17,decon
Ron Zacapa Centenario Sistema Solera 23,40,28.9,38,decon
Ron Zacapa Centenario Sistema Solera 23 Etiqueta Negra,43,36,28,fat rum pirate
Ron Zacapa Centenario XO,40,33,26,decon
Ron Zacapa Centenario XO Premio Platino,40,28,41,decon
Ron Zacapa Royal,45,38,29,rumshopboy
Ron Zacapa XO,40,33,22,fat rum pirate
Royal Jamaican Aged 12 Years,40,40,0,fat rum pirate
Rum 970 Agricola de Madeira Reserva 6 Anos,40,40,0,fat rum pirate
Rum Agricola de Maderia Signature Series (David Staffa cask 193),53.7,53.6,0,decon
Rum Agricola de Maderia Signature Series (David Staffa cask 240),54.6,54.2,0,decon
Rum Bar Gold Aged 4 Years,40,40,0,fat rum pirate
Rum Bar Premium White Overproof Rum,63,63,0,fat rum pirate
Rum Bar Silver Premium Jamaica Rum,40,40,0,fat rum pirate
Rum Bougainville Gold,40,39.5,0,fat rum pirate
Rum Cask Hampden Estate Single Cask 17yo,63.2,63,0,rumshopboy
Rum Club DA (Dark & Aged),42.2,38.5,14,decon
Rum Club LD (Light & Dry),42.2,42.2,0,decon
Rum Club PG (Pungent & Geeky),47,44.6,11,decon
Rum Club SR (Spiced & Rich),42.2,38,16,decon
Rum Company 10y,40,33,26,decon
Rum Company 15y,42,38,16,decon
Rum Company Aficionado,40,32.4,28,decon
Rum Company Old Guadeloupe Calvados,43,39.6,14,decon
Rum Company Special Cask 1423 25y,43,36.2,27,decon
Rum Diary Bar Royal Fortune,57,53.5,18.5,rumshopboy
Rum Diary Bar Spiced Cherry,44,34,39,rumshopboy
Rum Exchange Belize 2009,60.8,61,0,fat rum pirate
Rum Exchange Guyana Port Mourant,58.3,58.5,0,fat rum pirate
Rum Exchange Jamaica St Catherine 5 Year Old Ruby Port Finish,59,59,0,fat rum pirate
Rum Exchange Jamaica Trelawny Rum 5 Year Old Oloroso Finish,61.5,61,0,fat rum pirate
Rum Nation Barbados 10y 2014,40,36.2,14,decon
Rum Nation Barbados 2001 - btl.2011,40,37.5,10,decon
Rum Nation Caroni 1998 2014 rel 2nd batch,55,52.6,12,decon
Rum Nation Caroni 1999 Batch 2,55,52,15,fat rum pirate
Rum Nation Demerara 1975 31y,43,38.2,19,decon
Rum Nation Demerara 1985,43,38.4,18,decon
Rum Nation Demerara 1990 23y,45,40.2,20,decon
Rum Nation Demerara 1990 25y,45,43.7,6,decon
Rum Nation Demerara No.14,40,35.5,17,decon
Rum Nation Demerara Solera No. 14 (2012 Release),40,35,19,fat rum pirate
Rum Nation Guatemala,40,27.1,43,decon
Rum Nation Ilha de Maderia,50,50,0,fat rum pirate
Rum Nation Jamaica 1985 25y,43,40.6,9,decon
Rum Nation Jamaica 1990 23y,45,41.2,16,decon
Rum Nation Jamaica 1991 25y,55.7,55.2,0,decon
Rum Nation Jamaica 8y 2015 Oloroso finish,50,49.4,0,decon
Rum Nation Jamaica Pot Still 2014 rel.,57,56.3,0,decon
Rum Nation Martinique Anniv Edt. 12y,43,42.1,0,decon
Rum Nation Martinique Hors d'Age 2013 rel.,43,42.7,0,decon
Rum Nation Panama 18 Year Old,40,34,23,fat rum pirate
Rum Nation Panama 21y,40,34.5,20,decon
Rum Nation Peruano 8y 2014 rel.,42,37.1,19,decon
Rum Nation Rare Rums Caroni 21y,59.2,58.7,0,decon
Rum Nation Rare Rums Engenho Novo (Madeira) 2009-2017,52,50,10,fat rum pirate
Rum Nation Rare Rums Engenho Novo 2009-2017,52,51.6,0,decon
Rum Nation Rare Rums Hampden,66.3,66.4,0,decon
Rum Nation Rare Rums Savanna,54.2,54,0,decon
Rum Nation Rare Rums Savanna 2006/2016 10 Year Old,54.2,53.5,0,fat rum pirate
Rum Nation Rare Rums Worthy Park 11 Year Old,57,56,0,fat rum pirate
Rum Nation Reunion 7y 2016 release,45,44.6,0,decon
Rum Sixty Six Cask Strength 12 Year Old,59,59,0,fat rum pirate
Rum Sixty Six Extra Old 6 Year Old,40,40,0,fat rum pirate
Ryoma 7yo,40,40,0,rumshopboy
S.B.S - The 1423 Single Barrel Selection Mauritius 2008,55.7,55.5,0,fat rum pirate
S.B.S - The 1423 Single Barrel Selection Panama 2006,55,55,0,fat rum pirate
S.B.S - The 1423 Single Barrel Selection Trinidad 2008,57,57,0,fat rum pirate
S.B.S - The 1423 Single Barrel Selection Venezuela 2006,55,55,0,fat rum pirate
S.B.S – The 1423 Single Barrel Selection Jamaica 2007 PX Cask Finish,59,59,0,fat rum pirate
