hydro_rum_name,label_abv,hydro_abv,additives_g_l,hydro_source,name,company,country,ratings,score,type,rum_url,img_url,br_score,id,itemId,itemNumber,company_name,name2,price,volume,pricePerLiter,salesStart,packaging,seal,origin,countryOfOrigin,producer,supplier,vintage,alcoholByVolume,assortment,organic,kosher,base,price_per_liter_usd
Admiral Rodney - HMS Royal Oak,40,40,0,fat rum pirate,Admiral Rodney HMS Royal Oak,Admiral Rodney,Saint Lucia,12,7.9,Aged,/brands/6467-admiral-rodney-hms-royal-oak,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6467/small_admiral-rodney-hms-royal-oak.png,6.389600895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alnwick Rum Golden Spiced,40,37,12,fat rum pirate,Alnwick Spiced,Alnwick,United Kingdom,1,5,Aged,/brands/5030-alnwick-spiced,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.793733544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alnwick Rum White Knight,37.5,37,0,fat rum pirate,Almirante Blanco,Unknown,Spain,1,3,Light,/brands/8990-almirante-blanco,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.63017554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aluna Coconut Rum,35,27,25,fat rum pirate,Aluna Coconut,Unknown,Guatemala,1,7,Flavored,/brands/6243-aluna-coconut,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.957291548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aluna Coconut Rum,35,27,25,fat rum pirate,Aluna Coconut,Unknown,Guatemala,1,9,Light,/brands/5219-aluna-coconut,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5219/small_cold-break-spirits-coconut.png,5.120849552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ancient Mariner (Caroni 16 Year),54,54,0,fat rum pirate,Ancient Mariner Navy,Ancient Mariner,United Kingdom,5,7.4,Aged,/brands/1243-ancient-mariner-navy,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1243/small_Ancient_Mariner_Navy_rum.png,5.584034525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angostura 1824,40,35.2,18,decon,Angostura 1824 12-Year,Angostura,Trinidad and Tobago,222,7.6,Aged,/brands/23-angostura-1824-12-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/23/small_Angostura_1824_rum_400px.png,7.464016182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angostura 1919,40,36.5,13,decon,Angostura 1919 8-Year,Angostura,Trinidad and Tobago,366,7,Aged,/brands/24-angostura-1919-8-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/24/small_Angostura_1919_rum.png,6.933784362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angostura 5 Year Old Rum,40,40,0,fat rum pirate,Angostura 5-Year,Angostura,Trinidad and Tobago,47,6.1,Gold,/brands/1510-angostura-5-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1510/small_angostura_5-year_rum_orginal_400px.png,5.844571203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angostura Cask no.1 Oloroso Sherry cask,40,39.4,0,decon,Angostura Number 1 Sherry Cask,Angostura,Trinidad and Tobago,4,7.3,Aged,/brands/6614-angostura-number-1-sherry-cask,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6614/small_angostura-cask-collection-number-1-sherry-cask.png,5.438516128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angostura No1 Cask (1st Edition),40,31,32,fat rum pirate,Angostura Cask Collection Number 1 Bourbon Cask,Angostura,Trinidad and Tobago,36,8.2,Aged,/brands/1415-angostura-cask-collection-number-1-bourbon-cask,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1415/small_angostura_cask_collection_number_1_rum_orginal_400px.png,7.385821379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angostura No1 Cask (2nd Edition Purple),40,35,19,fat rum pirate,Angostura Cask Collection Number 1 French Oak Cask 16-Year,Angostura,Trinidad and Tobago,28,7.8,Aged,/brands/2307-angostura-cask-collection-number-1-french-oak-cask-16-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/2307/small_Angostura_Cask-Collection-Number-1-Batch-2_rum_400px.png,6.934271622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
