"","id","itemId","itemNumber","name","name2","price","volume","pricePerLiter","salesStart","packaging","seal","origin","countryOfOrigin","producer","supplier","vintage","alcoholByVolume","assortment","organic","kosher","base","price_per_liter_use"
"158","8701801","19709689","87018","Guyanan Rum","14 Years Cask Ref 3",1145,700,1635.71,"2019-03-25","Flaska","","","Guyana","Berry Bros & Rudd","Clydesdale AB","","46.00%","BS",FALSE,FALSE,"",179.9281
"159","8012601","20129030","80126","Caroni","Kill Devil",2498,700,3568.57,"2019-02-04","Flaska","","","Trinidad","Edition Spirits","Clydesdale AB","1998","46.00%","BS",FALSE,FALSE,"",392.5427
"160","8188601","20129031","81886","Trinidad","Fernandes 9 Years",847,700,1210,"2019-02-04","Flaska","","","Trinidad","Edition Spirits","Clydesdale AB","2009","46.00%","BS",FALSE,FALSE,"",133.1
"161","7051301","20368","70513","Bacardi","8 años",409,700,584.29,"1999-09-01","Flaska","","Puerto Rico","USA","Bacardi","Bacardi AB","","40.00%","BS",FALSE,FALSE,"",64.2719
"162","8249802","20465619","82498","Rhum Bielle","Canne Grise",548,500,1096,"2019-02-18","Flaska","","Guadeloupe","Frankrike","Distillerie Bielle","Clydesdale AB","","59.00%","BS",FALSE,FALSE,"",120.56
"163","8704401","20492475","87044","Paranubes","Oaxaca Rum",659,700,941.43,"2019-02-18","Flaska","","","Mexiko","Dos Valles S.A DE C.V.","Barkonsult Jakobsson & Lövgren AB","","54.00%","BS",FALSE,FALSE,"",103.5573
"164","8581401","20900045","85814","Santa Teresa 1796","",529,700,755.71,"2019-04-08","Flaska","","","Venezuela","C.A. Ron Santa Teresa","Bacardi AB","","40.00%","BS",FALSE,FALSE,"",83.1281
"165","8742201","20975699","87422","Rammstein Rum","Blended Classic Jamaica, Guyana och Trinidad",599,700,855.71,"2019-03-11","Flaska","","","Danmark","1423 Aps","1423 Noble Spirit AB","","40.00%","BS",FALSE,FALSE,"",94.1281
"166","8432801","21439915","84328","Flying Dutchman","PX 5 Years",628,700,897.14,"2019-03-18","Flaska","","","Nederländerna","Zuidam Distillers BV","Clydesdale AB","","40.00%","BS",FALSE,FALSE,"",98.6854
"167","8732602","21503072","87326","Dygden","Premium Blend XO",397,500,794,"2019-05-20","Flaska","","","Sverige","Gripsholms Distillery","Bondi AB","2015","40.00%","BS",FALSE,FALSE,"",87.34
"168","8212101","215288","82121","Velho Barreiro","",306,700,437.14,"2006-07-01","Flaska","Skruvkapsyl","","Brasilien","Ind. Reunidas de Bebidas Tatuzinho","Renbjer & Magnusson AB","","39.00%","BS",FALSE,FALSE,"",48.0854
"169","51001","215592","510","Appleton Estate","Signature Blend",309,700,441.43,"2006-10-02","Flaska","","","Jamaica","Wray & Nephew","Nigab","","40.00%","BS",FALSE,FALSE,"",48.5573
"170","8273901","21906384","82739","Neisson","L'Espirit Bio",996,700,1422.86,"2019-04-01","Flaska","","Martinique","Frankrike","LMDW / Neisson Distillery","Clydesdale AB","","66.00%","BS",TRUE,FALSE,"",156.5146
